Индекс,name,Код КЛАДР,Код ФИАС,Код ОКАТО,Код ОКТМО,Код ИФНС, Часовой пояс,lat,lon,pop
618320, Александровск,5900000300000, 4f07ade1-1415-44c8-bed9-e851f1ef558d,57405550000,57605105001,5911, UTC690, 59.1613773, 57.5764851,15022
618400, Березники,5900000200000, 4ffcde97-05e9-4a6e-bd51-3a984b41b7bd,57408000000,57708000001,5911, UTC691, 59.4079898, 56.8040725,156350
617119, Верещагино,5900500100000, 9bd0970e-7fbb-4a64-a625-af7670526dba,57212000000,57612101001,5933, UTC692, 58.0797908, 54.6580948,22760
618820, Горнозаводск,5900600100000, 17644b43-80ff-4dea-b823-3b9dbf9e9ef0,57214501000,57614101001,5921, UTC693, 58.3743406, 58.3230329,12334
618270, Гремячинск,5900000400000, edeaf203-1bc3-4fe1-b3ed-15eb89978783,57412000000,57615101001,5921, UTC694, 58.5625603, 57.8520073,11005
618250, Губаха,5900000500000, 1dc365d3-60b1-41ea-a3b3-1c599024cf30,57415000000,57717000001,5921, UTC695, 58.837024, 57.5544441,27544
618730, Добрянка,5900000600000, 230c2f4d-fd9d-46fc-8bbd-b8de26810790,57416550000,57616101001,5914, UTC696, 58.4696353, 56.4131294,35720
618350, Кизел,5900000700000, cc8b9eb5-bd4e-4472-8314-f889e8a6679c,57418000000,57623101001,5911, UTC697, 59.0511764, 57.6471214,20277
618590, Красновишерск,5901300100000, f42f49ba-d949-4245-843a-6ec5203d2fcd,57226501000,57626101001,5919, UTC698, 60.3902242, 57.0537244,17129
617060, Краснокамск,5903500100000, 22ac4485-bdf3-422e-b67f-9b3aba46de5e,57420550000,57627101001,5916, UTC699, 58.0820946, 55.7479797,52632
619000, Кудымкар,5900001400000, d36590ad-0286-44a2-876d-7732deee4234,57421000000,57851000001,5981, UTC700, 59.0168605, 54.6573459,30711
617470, Кунгур,5900000900000, 73e5113d-949a-4a9e-8e44-6eae9ef93747,57422000000,57722000001,5917, UTC701, 57.4283217, 56.9437787,67857
618900, Лысьва,5900001000000, 5d7c95a5-a4d7-4fb4-9774-93e527636a9e,57427000000,57726000001,5918, UTC702, 58.0995987, 57.8085728,67712
617000, Нытва,5901400100000, a49957ba-7860-484f-bf7a-abbbe1d76bab,57234501000,57634101001,5916, UTC703, 57.9337429, 55.3357261,19041
618120, Оса,5901600100000, 18e7b084-c83f-40bf-9378-d26628528a19,57240501000,57640101001,5900, UTC704, 57.2889992, 55.4688982,22420
618100, Оханск,5901800100000, 48159476-c6db-4258-a0bc-f8ee52e7aef6,57242501000,57642101001,5933, UTC705, 57.7178946, 55.387153,7597
617140, Очер,5901900100000, 6a9b1a8a-5da1-470c-a03a-ecbb3cee0ee9,57244501000,57644101001,5933, UTC706, 57.8851991, 54.7161756,15003
614000, Пермь,5900000100000, a309e4ce-2f36-4106-b1ca-53e0f48a6d95,57401000000,57701000001,5900, UTC707, 58.0103211, 56.2341778,1000679
618541, Соликамск,5900001100000, 8b698775-fe5e-4fc0-9f0d-272855d82d15,57430000000,57730000001,5919, UTC708, 59.6483518, 56.7710358,97239
618460, Усолье,5902400100000, 9acef094-749b-406f-89a2-98c02ebf50c5,57253501000,57653101001,5911, UTC709, 59.4279356, 56.6837783,5694
617760, Чайковский,5900001200000, 06d7a6d6-8f57-4e5a-b698-2bc44c92bb84,57435000000,57654101001,5959, UTC710, 56.7780203, 54.1478482,82933
618601, Чердынь,5902700100000, 242133ad-1c0f-43f0-9865-7b5f914a778f,57256501000,57656101001,5919, UTC711, 60.4011184, 56.4801391,4920
617040, Чермоз,5900800200000, 8f353d4e-1374-4a88-a06b-51c6a3f9acd1,57220504000,57620104001,5907, UTC712, 58.7842527, 56.1507562,4017
617830, Чернушка,5902800100000, c3a35399-c5ea-4f12-bf34-c2cc21e1cc60,57257501000,57657101001,5957, UTC713, 56.5161079, 56.0763919,33275
618200, Чусовой,5900001300000, 784b1911-182d-476b-a4ad-0f3fa1ef7777,57440000000,57658101001,5921, UTC714, 58.2974725, 57.8193122,46740
692330, Арсеньев,2500000200000, 36e4c7ce-7320-48ee-8320-0587c1e09917,5403000000,5703000,2500, UTC720, 44.16208, 133.269622,56742
692486, Артем,2500000300000, 3ce80b09-9b72-4e68-9b2d-becaaee4570e,5405000000,5705000,2502, UTC721, 43.350053, 132.1596594,102636
692801, Большой Камень,2500000700000, 1315186b-9ae8-4f92-b3a5-1db055c15358,5406000000,5706000,2503, UTC722, 43.1112737, 132.3480354,39257
690000, Владивосток,2500000100000, 7b6de6a5-86d0-4735-b11a-499081111af8,5401000000,5701000,2500, UTC723, 43.1163807, 131.882348,592069
692437, Дальнегорск,2500000800000, b2a863e2-37be-4858-b65e-0babc3872052,5407000000,5707000,2505, UTC724, 44.5539909, 135.5662536,37503
692130, Дальнереченск,2500000900000, e6e6c2b1-20cf-47a7-9a4b-39e8a96cc5c8,5408000000,5708000,2506, UTC725, 45.9307882, 133.7316542,27601
692031, Лесозаводск,2500001200000, 71b4cdae-5e53-4406-a418-1e8b5c17dc2e,5411000000,5711000,2507, UTC726, 45.4780192, 133.4185501,36975
